station_id,hora,ocupacion_historica_estacion_hora
113,21,0.358261494225
113,14,0.2616487455
113,15,0.175308642
113,16,0.3468253968333333
113,17,0.24691358022333332
113,18,0.13333333333333333
113,19,0.12005108556666666
113,20,0.3406130268
113,22,0.2149425287333333
113,23,0.23793103446666666
113,5,0.4
113,6,0.38333333329999997
113,7,0.341954023
113,8,0.3134408602
113,9,0.2451612903
113,10,0.23025583985
113,11,0.29408602149999996
113,12,0.36021505374999996
113,13,0.25806451615
114,21,1.0
115,0,0.4615384615
115,6,0.4227972028
115,7,0.44279720278
115,8,0.7461538461666667
115,10,0.60432900434
115,12,0.7562770562600001
115,13,0.8632575757750001
115,14,0.67954545455
115,15,0.702272727275
115,16,0.4314393939525
115,17,0.53484848485
115,18,0.35
115,19,0.382867132855
115,20,0.407867132855
115,22,0.3881118881
115,23,0.138636363625
115,5,0.3076923077
115,9,0.7861111111
115,11,0.7728896104
115,21,0.29207459210000003
116,0,0.385
116,6,0.32282608696000004
116,7,0.2245652174
116,8,0.2794908467
116,10,0.196980676328
116,12,0.3513768116
116,13,0.2329166666575
116,14,0.264764492725
116,15,0.33125000000000004
116,16,0.2768640351075
116,17,0.41459286805
116,18,0.38805604676250005
116,19,0.29500381385
116,20,0.11639492755
116,22,0.203804347825
116,23,0.22692601068749998
116,5,0.24592391305
116,9,0.14638157895
116,11,0.30012077295
116,21,0.18478260868
117,5,0.5384615385
117,0,0.3654629629575
117,8,0.12
117,13,0.1538461538
118,21,0.9
118,13,0.06666666667
119,14,0.5114638448000001
119,15,0.30704898447333334
119,16,0.20350457986666667
119,17,0.04416282642
119,18,0.339307049
119,19,0.10890652556666665
119,20,0.15879097487
119,21,0.16172839506666667
119,22,0.09725906276666667
119,23,0.13324819073333333
119,5,0.03448275862
119,6,0.03448275862
119,7,0.01612903226
119,8,0.291517323765
119,9,0.39112903226
119,10,0.51612903226
119,11,0.273637374865
119,12,0.38767281107499996
119,13,0.44297235021500003
121,0,0.25860847771
121,8,0.2173913043
122,21,0.0
123,14,0.36594202899
123,15,0.3268115942
123,16,0.41113653699999997
123,17,0.35049580473333336
123,18,0.11857707511666667
123,19,0.2345191041
123,20,0.39262187087
123,21,0.5559947299
123,22,0.6890645586333334
123,23,0.45191040843333335
123,5,0.131422924875
123,6,0.131422924875
123,7,0.1304347826
123,8,0.2638339921
123,9,0.5869565217333333
123,10,0.5839920948499999
123,11,0.3392621870666667
123,12,0.26679841895
