station_id,hora,dia_semana,historico_estacion_hora_dia
43,17,6,0.0
43,18,6,0.05263157895
43,19,6,0.05263157895
43,20,6,0.2631578947
43,22,6,0.2631578947
43,23,6,0.2631578947
43,5,0,0.2631578947
43,6,0,0.2105263158
43,7,0,0.1578947368
43,9,0,0.05263157895
43,10,0,0.0
43,11,0,0.05263157895
43,12,0,0.0
43,13,0,0.1578947368
43,14,0,0.1052631579
43,15,0,0.1578947368
43,16,0,0.2105263158
43,17,0,0.1578947368
43,18,0,0.2105263158
43,19,0,0.2105263158
43,20,0,0.2105263158
43,21,0,0.2105263158
43,22,0,0.2105263158
43,23,0,0.2105263158
43,5,1,0.2105263158
43,6,1,0.2105263158
43,7,1,0.2105263158
43,9,1,0.0
43,10,1,0.05263157895
43,11,1,0.1578947368
43,12,1,0.2105263158
43,13,1,0.1052631579
43,14,1,0.0
43,15,1,0.0
43,16,1,0.0
43,17,1,0.0
43,18,1,0.0
43,19,1,0.0
43,20,1,0.0
43,21,1,0.0
43,22,1,0.2105263158
43,23,1,0.2105263158
43,5,2,0.2105263158
43,6,2,0.2105263158
43,7,2,0.3684210526
43,8,2,0.2105263158
43,9,2,0.1578947368
43,10,2,0.0
43,11,2,0.0
43,12,2,0.0
43,13,2,0.05263157895
43,14,2,0.3157894737
43,15,2,0.3157894737
43,16,2,0.1052631579
43,17,2,0.05263157895
43,18,2,0.05263157895
43,19,2,0.0
43,20,2,0.05263157895
43,21,2,0.05263157895
43,22,2,0.05263157895
43,23,2,0.05263157895
43,5,3,0.1052631579
43,6,3,0.0
43,7,3,0.05263157895
43,8,3,0.0
43,9,3,0.0
43,10,3,0.05263157895
43,11,3,0.2105263158
43,12,3,0.2631578947
44,21,6,0.02272727273
44,5,6,0.1136363636
45,5,6,0.1153846154
46,9,6,0.3846153846
46,11,6,0.4615384615
48,21,6,0.0
48,8,0,0.04761904762
48,0,5,0.04545454545
49,9,6,0.1724137931
49,11,6,0.0
49,8,0,0.1228070175
49,0,5,0.2068965517
50,14,3,0.3684210526
50,15,3,0.4210526316
50,16,3,0.4210526316
50,17,3,0.2105263158
50,18,3,0.1052631579
50,19,3,0.1578947368
50,20,3,0.2631578947
50,21,3,0.2631578947
50,22,3,0.2105263158
50,23,3,0.2105263158
50,5,4,0.2222222222
50,6,4,0.1052631579
50,7,4,0.05263157895
50,8,4,0.05263157895
50,9,4,0.05263157895
50,10,4,0.05263157895
50,11,4,0.05263157895
50,12,4,0.1052631579
50,13,4,0.1052631579
50,14,4,0.0
50,15,4,0.0
50,16,4,0.1111111111
50,17,4,0.1666666667
50,18,4,0.1666666667
50,19,4,0.2941176471
50,20,4,0.2777777778
50,21,4,0.2222222222
50,22,4,0.2777777778
50,23,4,0.3888888889
50,5,5,0.3888888889
50,6,5,0.3333333333
50,7,5,0.3333333333
50,8,5,0.2222222222
50,9,5,0.1666666667
50,10,5,0.1666666667
50,11,5,0.0
50,12,5,0.0
50,13,5,0.1111111111
50,14,5,0.0
50,15,5,0.0
50,16,5,0.0
50,17,5,0.05555555556
50,18,5,0.05555555556
50,19,5,0.1052631579
50,20,5,0.05263157895
50,21,5,0.1052631579
50,22,5,0.1578947368
50,23,5,0.1052631579
51,9,6,0.0
51,11,6,0.03846153846
52,5,6,0.06060606061
52,21,6,0.0
52,14,3,0.1764705882
52,15,3,0.0
52,16,3,0.0
52,17,3,0.0
52,18,3,0.2285714286
52,19,3,0.3428571429
52,20,3,0.2571428571
52,21,3,0.2
52,22,3,0.05714285714
52,23,3,0.08571428571
52,5,4,0.1714285714
52,6,4,0.1714285714
52,7,4,0.2285714286
52,8,4,0.1176470588
52,9,4,0.1515151515
52,10,4,0.0625
52,11,4,0.15625
52,12,4,0.15625
52,13,4,0.3235294118
52,14,4,0.3636363636
52,15,4,0.09090909091
52,16,4,0.303030303
52,17,4,0.2727272727
52,18,4,0.3333333333
52,19,4,0.6060606061
52,20,4,0.375
52,21,4,0.09090909091
52,22,4,0.0303030303
52,23,4,0.0303030303
52,5,5,0.1818181818
52,6,5,0.2121212121
52,7,5,0.2121212121
52,8,5,0.4117647059
52,9,5,0.4571428571
52,10,5,0.4571428571
52,11,5,0.4
52,12,5,0.3714285714
52,13,5,0.4857142857
52,14,5,0.4
52,15,5,0.3428571429
52,16,5,0.3428571429
52,17,5,0.4285714286
52,18,5,0.4571428571
52,19,5,0.4857142857
52,20,5,0.4857142857
52,21,5,0.4857142857
52,22,5,0.4857142857
52,23,5,0.4285714286
53,9,6,0.04545454545
53,11,6,0.1363636364
55,14,3,0.08695652174
55,15,3,0.2608695652
55,16,3,0.1739130435
55,17,3,0.347826087
55,18,3,0.3913043478
55,19,3,0.4782608696
55,20,3,0.5652173913
55,21,3,0.6086956522
55,22,3,0.6363636364
55,23,3,0.6363636364
55,5,4,0.347826087
55,6,4,0.2272727273
55,7,4,0.2173913043
55,8,4,0.08695652174
55,9,4,0.08695652174
55,10,4,0.04347826087
55,11,4,0.08695652174
55,12,4,0.08695652174
55,13,4,0.1363636364
55,14,4,0.04761904762
55,15,4,0.1428571429
55,16,4,0.04761904762
55,17,4,0.4
55,18,4,0.3
